ime,stevilka,tema,kosi,ocena,stevilo_ocen,stevilo_recenzij,velikost_modela,navodila,datum_izida
Aston Martin Valkyrie,42208-1,Technic,707,3.8,12,0,29 x 13 x 7 cm,Yes,1 Jun 2025
Volvo L120 Electric Wheel Loader,42209-1,Technic,973,4.2,35,3,14 x 35 x 11 cm,Yes,1 Jun 2025
2 Fast 2 Furious Nissan Skyline GT-R (R34) Car,42210-1,Technic,1410,4.3,24,0,12 x 41 x 18 cm,Yes,1 Jun 2025
Lunar Outpost Moon Rover,42211-1,Technic,1082,4.4,8,0,13 x 31 x 19 cm,Yes,1 Aug 2025
Ferrari FXX K,42212-1,Technic,897,4.3,24,0,29 x 12 x 8 cm,Yes,1 Aug 2025
Ford Bronco SUV,42213-1,Technic,943,4.2,42,2,13 x 28 x 13 cm,Yes,1 Aug 2025
Lamborghini Revuelto,42214-1,Technic,1135,3.6,7,1,40 x 17 x 9 cm,Yes,1 Aug 2025
Volvo EC500 Hybrid Excavator,42215-1,Technic,2359,4.2,9,0,29 x 54 x 24 cm,Yes,1 Aug 2025
Chevrolet Corvette Stingray,42217-1,Technic,732,3.9,9,1,27 x 14 x 8 cm,Yes,1 Jun 2025
Combine Harvester,412502-1,Technic,80,4.1,8,0,,No,
Gyrocopter,412503-1,Technic,63,,0,1,,No,
Wheeled Excavator,412504-1,Technic,65,3.0,5,0,,No,
Space Buggy,412505-1,Technic,62,,0,0,,No,
Offroader,412506-1,Technic,77,,0,0,8.2 x 5 x 7 cm,No,
Black Dahlia Flower,76784-1,Wednesday,358,4.1,22,0,23 x 10 x 9 cm,Yes,1 Aug 2025
Thing's Apartment,76785-1,Wednesday,828,,0,0,13 x 23 x 11 cm,Yes,1 Oct 2025
Morticia's Cottage,76786-1,Wednesday,1002,3.9,7,0,21 x 19 x 12 cm,Yes,1 Oct 2025
Emerald City Wall Art,75685-1,Wicked,1518,4.1,16,0,32 x 25 x 8 cm,Yes,1 Sep 2025
Elphaba's Retreat,75687-1,Wicked,228,,0,0,19 x 13 x 9 cm,Yes,1 Sep 2025
Glinda's Wedding Day,75688-1,Wicked,476,,0,0,11 x 20 x 13 cm,Yes,1 Sep 2025
Emerald City & Kiamo Ko Castle,75689-1,Wicked,860,4.0,5,0,18 x 18 x 10 cm,Yes,1 Sep 2025
Glinda & Elphaba Visit Munchkinland,75690-1,Wicked,744,3.8,5,0,21 x 23 x 11 cm,Yes,1 Sep 2025
Glinda & Elphaba Bookends,75691-1,Wicked,1327,4.5,10,0,,Yes,1 Sep 2025
